2024-10-29 12:32:38,981 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-29 12:32:45,462 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-29 12:32:46,895 - DEBUG - __main__ - Associated store: 1 
2024-10-29 12:32:47,136 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-29 12:32:47,333 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-29 12:32:47,541 - DEBUG - __main__ - Server URK: https://36101.wiremockapi.cloud/api/FileProcessing/CreateSession 
2024-10-29 12:32:51,315 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-29 12:32:52,343 - DEBUG - __main__ - Copied C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\archive\dextest.dex
2024-10-29 12:32:52,974 - DEBUG - __main__ - Moved C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\remotedir\dextest.dex
2024-10-29 12:33:36,898 - DEBUG - __main__ - Start of the Stub Program
2024-10-29 12:33:36,898 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-29 12:33:36,898 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-29 12:33:42,540 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-29 12:33:44,805 - DEBUG - __main__ - Associated store: 1 
2024-10-29 12:33:45,069 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-29 12:33:45,278 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-29 12:33:45,477 - DEBUG - __main__ - Server URK: https://36101.wiremockapi.cloud/api/FileProcessing/ 
2024-10-29 12:33:46,679 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-29 12:33:48,036 - DEBUG - __main__ - Request successful!
2024-10-29 12:33:48,036 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-29 12:34:06,917 - DEBUG - __main__ - Start of the Stub Program
2024-10-29 12:34:06,917 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-29 12:34:06,917 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-29 12:34:08,982 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-29 12:34:10,753 - DEBUG - __main__ - Associated store: 1 
2024-10-29 12:34:10,962 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-29 12:34:11,152 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-29 12:34:11,341 - DEBUG - __main__ - Server URK: https://36101.wiremockapi.cloud/api/FileProcessing/ 
2024-10-29 12:34:13,037 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-29 12:34:13,438 - DEBUG - __main__ - Copied C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\archive\dextest.dex
2024-10-29 12:34:13,864 - DEBUG - __main__ - Moved C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\remotedir\dextest.dex
2024-10-29 12:34:32,728 - DEBUG - __main__ - Request successful!
2024-10-29 12:34:32,971 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-29 12:34:35,238 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-29 12:34:47,067 - DEBUG - __main__ - Request successful!
2024-10-29 12:34:48,974 - DEBUG - __main__ - {
  "fileName": "invoice3.dex",
  "totalProcessingTime": "00:00:52.9171829",
  "status": "Failed",
  "sessionId": "7fb12a8df920",
  "invoices": [
    "6004852059",
    "6004852060"
  ]
}
2024-10-29 12:34:52,116 - DEBUG - __main__ - Invoice List :['6004852059', '6004852060']
2024-10-29 12:34:52,713 - DEBUG - __main__ - Initiating a DB Connection
2024-10-29 12:34:57,529 - DEBUG - __main__ - DB Connection : 0 
2024-10-29 12:34:59,278 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852059
2024-10-29 12:35:01,507 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852060
2024-10-29 12:35:03,383 - DEBUG - __main__ - DB Handling complete
